Note ON: Channel: 1, Note: 60, Velocity: 127
Control Change: Channel: 1, Control: 2, Value: 74
Control Change: Channel: 1, Control: 7, Value: 74
Control Change: Channel: 1, Control: 2, Value: 72
Control Change: Channel: 1, Control: 7, Value: 72
Control Change: Channel: 1, Control: 2, Value: 70
Control Change: Channel: 1, Control: 7, Value: 70
Control Change: Channel: 1, Control: 2, Value: 66
Control Change: Channel: 1, Control: 7, Value: 66
Control Change: Channel: 1, Control: 2, Value: 64
Control Change: Channel: 1, Control: 7, Value: 64
Control Change: Channel: 1, Control: 2, Value: 60
Control Change: Channel: 1, Control: 7, Value: 60
Control Change: Channel: 1, Control: 2, Value: 58
Control Change: Channel: 1, Control: 7, Value: 58
Control Change: Channel: 1, Control: 2, Value: 56
Control Change: Channel: 1, Control: 7, Value: 56
Control Change: Channel: 1, Control: 2, Value: 52
Control Change: Channel: 1, Control: 7, Value: 52
Control Change: Channel: 1, Control: 2, Value: 50
Control Change: Channel: 1, Control: 7, Value: 50
Control Change: Channel: 1, Control: 2, Value: 46
Control Change: Channel: 1, Control: 7, Value: 46
Control Change: Channel: 1, Control: 2, Value: 42
Control Change: Channel: 1, Control: 7, Value: 42
Control Change: Channel: 1, Control: 2, Value: 40
Control Change: Channel: 1, Control: 7, Value: 40
Control Change: Channel: 1, Control: 2, Value: 36
Control Change: Channel: 1, Control: 7, Value: 36
Control Change: Channel: 1, Control: 2, Value: 30
Control Change: Channel: 1, Control: 7, Value: 30
Control Change: Channel: 1, Control: 2, Value: 26
Control Change: Channel: 1, Control: 7, Value: 26
Control Change: Channel: 1, Control: 2, Value: 22
Control Change: Channel: 1, Control: 7, Value: 22
Control Change: Channel: 1, Control: 2, Value: 18
Control Change: Channel: 1, Control: 7, Value: 18
Control Change: Channel: 1, Control: 2, Value: 12
Control Change: Channel: 1, Control: 7, Value: 12
Control Change: Channel: 1, Control: 2, Value: 6
Control Change: Channel: 1, Control: 7, Value: 6
Control Change: Channel: 1, Control: 2, Value: 2
Control Change: Channel: 1, Control: 7, Value: 2
Note OFF (via NOTE_ON with velocity 0): Channel: 1, Note: 60
Control Change: Channel: 1, Control: 2, Value: 0
Control Change: Channel: 1, Control: 7, Value: 0
Note ON: Channel: 1, Note: 62, Velocity: 127
Control Change: Channel: 1, Control: 2, Value: 3
Control Change: Channel: 1, Control: 7, Value: 3
Control Change: Channel: 1, Control: 2, Value: 11
Control Change: Channel: 1, Control: 7, Value: 11
Control Change: Channel: 1, Control: 2, Value: 21
Control Change: Channel: 1, Control: 7, Value: 21
Control Change: Channel: 1, Control: 2, Value: 29
